gaze_location_x,gaze_location_y,l_puril_center_x,l_puril_center_y,l_puril_center_z,r_puril_center_x,r_puril_center_y,r_puril_center_z,l_relative_eye_center_x,l_relative_eye_center_y,pitch,yaw,roll,lndmrk469,lndmrk470,lndmrk471,lndmrk472,lndmrk474,lndmrk475,lndmrk476,lndmrk477,lndmrk33,lndmrk7,lndmrk163,lndmrk144,lndmrk145,lndmrk153,lndmrk154,lndmrk155,lndmrk133,lndmrk173,lndmrk157,lndmrk158,lndmrk159,lndmrk160,lndmrk161,lndmrk246,lndmrk362,lndmrk382,lndmrk381,lndmrk380,lndmrk374,lndmrk373,lndmrk390,lndmrk249,lndmrk263,lndmrk466,lndmrk388,lndmrk387,lndmrk386,lndmrk385,lndmrk384,lndmrk398
0,0,987,517,0,1143,510,0,-0.18252976632979528,0.21433529510088736,[177.38721743],[15.95526815],[-3.50301163],"(1000.4815292358398, 515.3406929969788)","(985.5936813354492, 504.9203109741211)","(974.3932342529297, 520.4646241664886)","(989.2314147949219, 530.9641528129578)","(1159.9885940551758, 510.3721261024475)","(1143.7728881835938, 497.428514957428)","(1126.8509674072266, 509.9403119087219)","(1142.9347229003906, 523.0755293369293)","(963.9051818847656, 522.5026416778564)","(969.4865798950195, 525.796480178833)","(975.062255859375, 527.5378346443176)","(982.6892852783203, 528.4499359130859)","(993.6361312866211, 527.6134729385376)","(1004.1652679443359, 525.2673017978668)","(1014.2012786865234, 522.571907043457)","(1020.8974456787109, 521.2760782241821)","(1024.0052032470703, 520.1672530174255)","(1019.6915817260742, 516.6215229034424)","(1010.5167388916016, 511.4108169078827)","(998.1511688232422, 508.6289370059967)","(986.4272689819336, 509.4740903377533)","(975.7198333740234, 513.0744087696075)","(969.6291732788086, 517.221382856369)","(966.3269805908203, 520.197958946228)","(1114.7126770019531, 518.808821439743)","(1118.6840057373047, 519.6968150138855)","(1126.0608673095703, 520.1119565963745)","(1136.8976211547852, 521.2906587123871)","(1148.815040588379, 521.7366671562195)","(1161.7580795288086, 520.9580111503601)","(1171.0640716552734, 519.2209374904633)","(1178.0609893798828, 517.0871651172638)","(1184.6640014648438, 513.4230208396912)","(1180.4692840576172, 510.24025797843933)","(1175.3490829467773, 506.6683280467987)","(1166.8290710449219, 502.4049997329712)","(1153.2249069213867, 499.7980856895447)","(1139.9024963378906, 500.8701539039612)","(1127.5104904174805, 506.36545300483704)","(1118.7730407714844, 514.1203415393829)"
0,0,975,539,0,1141,544,0,-0.36919665458043,-0.07399886657929206,[-170.48981895],[2.14767522],[0.3942565],"(990.0185394287109, 538.7017893791199)","(974.2278671264648, 524.0137016773224)","(960.2072525024414, 539.8637545108795)","(976.1469268798828, 554.8467350006104)","(1156.5339660644531, 544.6875143051147)","(1141.5035247802734, 529.3489372730255)","(1127.1517181396484, 543.7008690834045)","(1142.1107482910156, 559.1915273666382)","(938.1068801879883, 544.0362524986267)","(943.9720916748047, 548.8360977172852)","(950.0934791564941, 552.0269393920898)","(958.7077331542969, 554.7187614440918)","(971.5011978149414, 555.7390093803406)","(984.0433502197266, 554.2395043373108)","(995.958251953125, 551.7035937309265)","(1003.7065887451172, 550.6185865402222)","(1007.3250961303711, 549.6121144294739)","(1002.9500198364258, 544.3104815483093)","(993.4230422973633, 536.3151597976685)","(979.496955871582, 531.516569852829)","(965.6770706176758, 531.5076541900635)","(952.9118728637695, 534.7161984443665)","(945.4238891601562, 538.7638127803802)","(941.2590408325195, 541.6811013221741)","(1101.3592529296875, 553.5805821418762)","(1104.5246887207031, 554.0302276611328)","(1111.9437789916992, 554.0988492965698)","(1123.6283111572266, 555.8159351348877)","(1135.7207107543945, 557.5632762908936)","(1148.587417602539, 557.9296875)","(1157.647705078125, 556.2640357017517)","(1164.4670104980469, 553.8236546516418)","(1171.1326217651367, 549.6802854537964)","(1167.9263305664062, 547.3363351821899)","(1163.481216430664, 544.2971563339233)","(1155.7769393920898, 540.3490304946899)","(1143.1510162353516, 537.3945021629333)","(1129.6131134033203, 537.3760271072388)","(1116.0105514526367, 541.7734122276306)","(1106.117935180664, 549.0023732185364)"
0,0,976,541,0,1141,545,0,-0.411167702015501,-0.06778951363860958,[-169.1595488],[1.07106438],[0.45897332],"(992.3827743530273, 540.8634996414185)","(975.2144622802734, 526.2653410434723)","(960.0820541381836, 541.6229724884033)","(977.3260116577148, 556.4791059494019)","(1155.9437942504883, 545.971884727478)","(1141.3959503173828, 530.7838761806488)","(1126.5875244140625, 544.3374538421631)","(1141.1396026611328, 559.672908782959)","(938.0679702758789, 545.994930267334)","(944.0573501586914, 550.4350590705872)","(950.244197845459, 553.4022688865662)","(959.0423011779785, 555.940432548523)","(972.147331237793, 557.2180438041687)","(984.8850631713867, 556.5483713150024)","(996.8047714233398, 555.1340961456299)","(1004.5244979858398, 554.703118801117)","(1008.1946182250977, 553.954267501831)","(1003.7236404418945, 548.473162651062)","(994.3219757080078, 539.8614048957825)","(980.394287109375, 534.1507458686829)","(966.0230255126953, 533.3612108230591)","(952.6990127563477, 536.2161862850189)","(945.0343322753906, 540.3732991218567)","(940.9819221496582, 543.4836101531982)","(1100.9065246582031, 553.3343553543091)","(1104.0958786010742, 553.8354349136353)","(1111.66259765625, 554.071683883667)","(1123.5082626342773, 556.0319066047668)","(1135.6839752197266, 557.9067063331604)","(1148.4025955200195, 558.295841217041)","(1157.3300170898438, 556.8137168884277)","(1164.0824890136719, 554.5349764823914)","(1170.6309127807617, 550.6964778900146)","(1167.652816772461, 548.3741569519043)","(1163.4677124023438, 545.2300500869751)","(1156.0740280151367, 540.9663033485413)","(1143.5564804077148, 537.5451672077179)","(1129.834327697754, 537.2177982330322)","(1115.962257385254, 541.5115427970886)","(1105.770378112793, 548.7656092643738)"
0,0,976,541,0,1141,545,0,-0.3292290196996872,-0.048021570744958456,[-168.87197871],[1.32416483],[0.38279834],"(992.4657440185547, 540.9310913085938)","(975.2619552612305, 526.2253975868225)","(960.2009582519531, 542.0037388801575)","(977.4771881103516, 556.9085383415222)","(1156.8023300170898, 546.5457057952881)","(1141.692008972168, 530.9181261062622)","(1126.7582702636719, 544.9151372909546)","(1141.8778610229492, 560.6380534172058)","(939.4567680358887, 545.4335975646973)","(945.6020164489746, 550.1676535606384)","(951.9101715087891, 553.295087814331)","(960.7753372192383, 555.8726477622986)","(973.8559341430664, 556.9223785400391)","(986.4858627319336, 555.8428430557251)","(998.3310699462891, 553.9885783195496)","(1006.003303527832, 553.3402132987976)","(1009.5547485351562, 552.5438547134399)","(1004.981689453125, 547.136971950531)","(995.3364944458008, 538.6584985256195)","(981.2807464599609, 533.1845390796661)","(966.9672775268555, 532.6247835159302)","(953.7997055053711, 535.6264007091522)","(946.292610168457, 539.8202383518219)","(942.3165321350098, 542.944164276123)","(1102.155647277832, 553.4511280059814)","(1105.319709777832, 553.8202428817749)","(1112.893180847168, 553.9476370811462)","(1124.8195266723633, 555.7791137695312)","(1137.0605850219727, 557.5997114181519)","(1149.8566818237305, 558.0362892150879)","(1158.8441848754883, 556.7592573165894)","(1165.719108581543, 554.7379446029663)","(1172.3681259155273, 551.2351512908936)","(1169.230728149414, 549.0638494491577)","(1164.7980880737305, 546.0647106170654)","(1157.1402740478516, 542.0153903961182)","(1144.4921493530273, 538.7435352802277)","(1130.8198928833008, 538.373293876648)","(1117.0230102539062, 542.2993397712708)","(1106.9696044921875, 549.0963578224182)"
0,0,976,541,0,1141,546,0,-0.31069926743943016,-0.06338158542152526,[-168.65818329],[1.82648768],[0.18808249],"(991.8800354003906, 540.5126667022705)","(975.0048065185547, 526.0850644111633)","(960.6348037719727, 541.5828037261963)","(977.5966644287109, 556.2917160987854)","(1156.549301147461, 546.6024827957153)","(1141.3160705566406, 531.373565196991)","(1126.4089965820312, 545.4293489456177)","(1141.6337585449219, 560.7666707038879)","(938.8302612304688, 545.1441121101379)","(944.8814392089844, 549.9375200271606)","(951.1263656616211, 553.1438755989075)","(959.9590873718262, 555.7961082458496)","(973.0279541015625, 556.8829822540283)","(985.6559371948242, 555.7336664199829)","(997.5685501098633, 553.7737011909485)","(1005.2832412719727, 553.0397844314575)","(1008.852653503418, 552.2151017189026)","(1004.3292617797852, 546.8028116226196)","(994.7032928466797, 538.3120107650757)","(980.5816268920898, 532.9609394073486)","(966.2460708618164, 532.6227235794067)","(953.166446685791, 535.705418586731)","(945.699520111084, 539.8111295700073)","(941.7264175415039, 542.7984237670898)","(1101.2412643432617, 553.1205081939697)","(1104.4731903076172, 553.5870838165283)","(1112.0665740966797, 553.7952017784119)","(1123.9038848876953, 555.6631135940552)","(1136.1227416992188, 557.4465036392212)","(1148.8200759887695, 557.8203821182251)","(1157.7289581298828, 556.4815521240234)","(1164.5079803466797, 554.4422149658203)","(1171.1290740966797, 550.8539342880249)","(1168.0292129516602, 548.7425637245178)","(1163.6708450317383, 545.831937789917)","(1156.0773468017578, 541.8703579902649)","(1143.5096740722656, 538.7528049945831)","(1130.020523071289, 538.5201930999756)","(1116.2706756591797, 542.3908138275146)","(1106.1231994628906, 548.9127659797668)"
0,0,976,541,0,1142,545,0,-0.38822638597034026,-0.05528534124766152,[-168.61903971],[1.40036082],[0.50951544],"(991.8104553222656, 540.8179879188538)","(974.666862487793, 526.5871095657349)","(960.5059432983398, 541.7421913146973)","(977.7557373046875, 556.2568259239197)","(1157.0388793945312, 546.3923048973083)","(1142.7748489379883, 531.6349518299103)","(1128.5473251342773, 544.8247575759888)","(1142.776222229004, 559.6802473068237)","(938.7553596496582, 546.0453987121582)","(945.0250053405762, 550.8271551132202)","(951.4957809448242, 553.938045501709)","(960.5072021484375, 556.455545425415)","(973.6619567871094, 557.4848055839539)","(986.1835098266602, 556.5544867515564)","(997.7716827392578, 554.9506330490112)","(1005.212516784668, 554.468994140625)","(1008.6754989624023, 553.789279460907)","(1004.0719985961914, 548.3365631103516)","(994.5130920410156, 539.5735609531403)","(980.58837890625, 533.7918984889984)","(966.2929916381836, 533.0620694160461)","(953.1194114685059, 536.0207498073578)","(945.596981048584, 540.2920603752136)","(941.6020202636719, 543.5092949867249)","(1104.3098831176758, 553.8368511199951)","(1107.4310302734375, 554.1593599319458)","(1114.7305297851562, 554.1740369796753)","(1126.080436706543, 555.8275866508484)","(1137.8417587280273, 557.5180864334106)","(1150.180778503418, 557.955436706543)","(1158.8860702514648, 556.7842984199524)","(1165.5750274658203, 554.847571849823)","(1172.1197891235352, 551.4265966415405)","(1169.0610122680664, 549.235532283783)","(1164.8390579223633, 546.1926198005676)","(1157.4810791015625, 542.0463538169861)","(1145.1478958129883, 538.7472689151764)","(1131.9195556640625, 538.4921908378601)","(1118.653221130371, 542.6280283927917)","(1108.956298828125, 549.5019721984863)"
0,0,976,540,0,1141,545,0,-0.4454788159259579,-0.06093931015012515,[-168.87311526],[1.9889575],[0.28173721],"(992.3770523071289, 540.4727554321289)","(975.6646728515625, 525.5994987487793)","(960.9063720703125, 541.2810230255127)","(977.7103042602539, 556.4044332504272)","(1156.834945678711, 546.4660120010376)","(1141.7270278930664, 531.1885893344879)","(1126.9277572631836, 545.0857257843018)","(1142.0297241210938, 560.4706835746765)","(939.9334716796875, 545.6061172485352)","(945.8329582214355, 549.9580550193787)","(951.8869400024414, 552.7882146835327)","(960.3668975830078, 555.2254414558411)","(972.9209518432617, 556.3987040519714)","(985.0632476806641, 555.5856728553772)","(996.4080047607422, 553.9433240890503)","(1003.8395690917969, 553.3592677116394)","(1007.4520111083984, 552.5251221656799)","(1003.1607055664062, 547.2391319274902)","(994.1512298583984, 539.1086268424988)","(980.7955169677734, 533.8222503662109)","(967.122802734375, 533.2022738456726)","(954.3553733825684, 536.0523569583893)","(946.9025230407715, 540.097074508667)","(942.8823280334473, 543.1386995315552)","(1103.1164932250977, 554.3217730522156)","(1106.3373184204102, 554.8047637939453)","(1113.849105834961, 554.97239112854)","(1125.5696868896484, 556.7803072929382)","(1137.6481246948242, 558.5302233695984)","(1150.2257537841797, 558.846423625946)","(1159.035415649414, 557.4534559249878)","(1165.7310104370117, 555.3594660758972)","(1172.241439819336, 551.7677092552185)","(1169.1202926635742, 549.4925737380981)","(1164.7649002075195, 546.4432239532471)","(1157.2382354736328, 542.3371911048889)","(1144.8134994506836, 539.0808498859406)","(1131.4219665527344, 538.8317584991455)","(1117.8759384155273, 542.9426836967468)","(1107.9057312011719, 549.8613023757935)"
0,0,976,541,0,1142,545,0,-0.4356636274338643,-0.05619224958949596,[-167.98601188],[1.94293089],[0.35214584],"(992.3256683349609, 541.3527989387512)","(975.6441879272461, 526.8546116352081)","(960.8597946166992, 541.7604088783264)","(977.6798629760742, 556.5147686004639)","(1157.322120666504, 546.3890862464905)","(1142.1654510498047, 530.7727074623108)","(1127.0013427734375, 544.9014258384705)","(1142.1521759033203, 560.638632774353)","(938.7313270568848, 546.448245048523)","(944.6452331542969, 550.9189510345459)","(950.760555267334, 553.8760542869568)","(959.4779777526855, 556.4470481872559)","(972.5020980834961, 557.8400802612305)","(985.1744842529297, 557.32741355896)","(997.060661315918, 556.0396957397461)","(1004.8307418823242, 555.6267428398132)","(1008.5911560058594, 554.8181533813477)","(1004.2147064208984, 549.2599940299988)","(994.9628448486328, 540.4834413528442)","(981.2202072143555, 534.524656534195)","(966.9600677490234, 533.5410368442535)","(953.6035537719727, 536.3338923454285)","(945.8548164367676, 540.5660963058472)","(941.7318534851074, 543.7868070602417)","(1102.306022644043, 553.8120031356812)","(1105.3221130371094, 554.1065096855164)","(1112.739601135254, 554.039626121521)","(1124.4076538085938, 555.6270003318787)","(1136.473388671875, 557.366681098938)","(1149.1630554199219, 557.8117561340332)","(1158.1892395019531, 556.4973878860474)","(1165.1178359985352, 554.3428230285645)","(1171.8809509277344, 550.6311392784119)","(1168.9506912231445, 548.3786630630493)","(1164.7526550292969, 545.2085494995117)","(1157.3026657104492, 540.8640789985657)","(1144.7175979614258, 537.4989151954651)","(1131.1240768432617, 537.3707807064056)","(1117.3823547363281, 541.9306755065918)","(1107.2216033935547, 549.2771816253662)"
0,0,977,540,0,1142,545,0,-0.4207736532013621,-0.048061092453822715,[-168.83736221],[1.57914637],[0.58063572],"(993.3995819091797, 540.4491305351257)","(975.963134765625, 525.7274079322815)","(960.7887268066406, 541.392388343811)","(978.255615234375, 556.3637495040894)","(1157.1231079101562, 546.7170667648315)","(1142.5387573242188, 531.5747308731079)","(1127.9032516479492, 545.0270819664001)","(1142.468376159668, 560.2970695495605)","(940.0927734375, 545.632381439209)","(946.2828826904297, 550.2197313308716)","(952.6482009887695, 553.2151365280151)","(961.5573120117188, 555.6934976577759)","(974.6610260009766, 556.7772173881531)","(987.2664642333984, 555.8653736114502)","(999.1072082519531, 554.2627429962158)","(1006.7425918579102, 553.7661051750183)","(1010.2627944946289, 553.0486679077148)","(1005.6681060791016, 547.5406551361084)","(996.0415649414062, 538.8237118721008)","(981.9899368286133, 533.1514513492584)","(967.6531219482422, 532.5645303726196)","(954.4845771789551, 535.6567847728729)","(946.9414901733398, 539.9632751941681)","(942.9482460021973, 543.1462955474854)","(1103.722915649414, 553.5019826889038)","(1106.9036865234375, 554.0262365341187)","(1114.369125366211, 554.3431448936462)","(1125.9896850585938, 556.4006996154785)","(1137.9626083374023, 558.3191442489624)","(1150.4505157470703, 558.7039017677307)","(1159.2212677001953, 557.2487497329712)","(1165.8994674682617, 555.0014877319336)","(1172.384262084961, 551.2342500686646)","(1169.33349609375, 548.9454030990601)","(1165.1154327392578, 545.8639311790466)","(1157.750244140625, 541.6788482666016)","(1145.35400390625, 538.2681083679199)","(1131.8799591064453, 537.8685128688812)","(1118.3576202392578, 541.9951772689819)","(1108.4336471557617, 549.0440225601196)"
0,0,976,541,0,1141,546,0,-0.36486239643649376,-0.03842299431722995,[-169.07108247],[1.85939248],[0.39434239],"(992.1970367431641, 540.5428576469421)","(975.3384017944336, 526.217383146286)","(961.0977172851562, 541.7999982833862)","(978.0749130249023, 556.3969016075134)","(1156.6839981079102, 546.9932913780212)","(1141.8695068359375, 531.9587802886963)","(1127.0053482055664, 545.6173181533813)","(1141.8288803100586, 560.7595252990723)","(939.9914360046387, 545.9828281402588)","(946.0939407348633, 550.4770946502686)","(952.3155784606934, 553.4178471565247)","(961.0257339477539, 555.8508896827698)","(973.8742446899414, 556.8928956985474)","(986.2881088256836, 555.9016156196594)","(998.0012512207031, 554.1997861862183)","(1005.5877685546875, 553.6449551582336)","(1009.105339050293, 552.9131627082825)","(1004.5295333862305, 547.5145840644836)","(994.907112121582, 539.0477299690247)","(981.0598754882812, 533.6358904838562)","(967.0068740844727, 533.1799364089966)","(954.1298675537109, 536.2663650512695)","(946.7638206481934, 540.4583358764648)","(942.8425025939941, 543.5551285743713)","(1102.8781127929688, 553.5674500465393)","(1106.0025787353516, 554.069881439209)","(1113.4136581420898, 554.4200706481934)","(1125.0265502929688, 556.466875076294)","(1137.1016693115234, 558.3708357810974)","(1149.7869873046875, 558.7762570381165)","(1158.7543487548828, 557.3992538452148)","(1165.6653213500977, 555.2426934242249)","(1172.380714416504, 551.5281772613525)","(1169.2136764526367, 549.3273282051086)","(1164.8320770263672, 546.332631111145)","(1157.2496795654297, 542.2719812393188)","(1144.6957397460938, 539.0159618854523)","(1131.2683868408203, 538.666158914566)","(1117.6558685302734, 542.5900483131409)","(1107.674331665039, 549.2869019508362)"
